Name,City
High Dive,"Tat Momoli, Nevada"
Highlander A British Pub,"Trap Corner, Alabama"
Hillcrest Pub Llc,"Weweantic, Massachusetts"
Hoggsbreath,"Moose Town, Tennessee"
Hollywood,"Black Hawk, Maine"
Horn's Gas Light Bar,"Fivemile, Kentucky"
Hurricanelounge Inc.,"Loogootee, New Mexico"
Idle Spurs Steak House,"Circleville, Michigan"
J B's,"Cude Crossing Windmill, Virginia"
J P Ryan's Tavern,"Old Moses, Iowa"
Jaks On South Park,"Jeff Davis, New Mexico"
Jellyrolls,"Parrot, Vermont"
JENNI-LOU BAR-B-QUE,"Nuckles, Rhode Island"
Jerry's,"Tobacco, Kansas"
Jerry's Bar & Grill,"Sinker, North Carolina"
Joes Liquors,"New Brunswick, New Jersey"
Jules Maes Saloon,"Walkinghood, Alabama"
Kalahari Bar,"Wolf Trap, Oklahoma"
Kegler Lounge,"British Hollow, Maryland"
Kelly's Pub,"Fivemile, Kentucky"
Kevin Lamanske,"Moose Town, Tennessee"
Kildare's,"Shinhopple, District of Columbia"
Kildares Irish Pub,"Red Onion, Massachusetts"
Kirkwood Bar & Grill,"Chance, Tennessee"
Klassy's Inc,"Shake Rag, California"
Knockouts Bar And Grill,"Horneytown, Wisconsin"
L Beato,"Shinhopple, District of Columbia"
LA Fonda Hotel,"White Kitchen, Maine"
Lee Harvey's,"Powwow River, Arkansas"
Lee's Place,"Big Black, Colorado"
Libertine Bar,"Cattown, Georgia"
Light,"Canyondam, Washington"
Liquor Lounge,"Piscataway, New Jersey"
Lodge Bar,"Sinker, West Virginia"
Longhorn Tavern,"Two Locks, Arkansas"
Lucky Lady,"Hypoluxo, Virginia"
Madison Avenue,"Wiseman, Vermont"
Main Street Inn,"Prince Frederick, Georgia"
Mario's,"Angels Grove, Texas"
Maxum Bar & Grill,"Ballplay, Vermont"
Mazzeo's Decanter Inn,"Chopin, Arizona"
Mc Bee's Saloon & Eatery,"Moosehead, Florida"
Mc Fadden's Saloon,"Red Wine, New Jersey"
Meehan's Ale House,"Billy Goat Hill, Maryland"
Mercy Wine Bar Inc,"Little Switzerland, Alaska"
Michael Duggan Bar 3,"Yaggy, District of Columbia"
Mini Bar Inc,"Red Wine, New Jersey"
MO Doggies Bar & Grill,"Big Timber, Kansas"
Monopole Restaurant,"Horneytown, Wisconsin"
MT Adams Bar & Grill,"Boring, Louisiana"
My Office Bar & Grill,"Wharf, Alaska"
Natural Family Planning Office,"Wyomanock, New York"
Neighbours-Disco,"Nogo, Montana"
Orazio Pub,"Czar, Kentucky"
Orpheum Theatre,"White Shield, Iowa"
Peggy's Place,"Honolulu, Pennsylvania"
Pelican Larry's Bar & Grill,"Medical Lake, Illinois"
Pencak & Co,"Burnt Tree, Missouri"
Pennant East,"Tannenbaum, Arizona"
Peters Liquors,"New Brunswick, New Jersey"
Pioneer Pub,"Walkinghood, Alabama"
Pourhaus,"Chili, Massachusetts"
Q Billiards & Sports Bar,"Stranger, Ohio"
Railroad Blues,"Coinjock, Missouri"
Railroad Tavern,"Bagtown, Rhode Island"
Rave,"Plentywood, Oregon"
Rawhide Lounge,"Pronto, Pennsylvania"
Rick's Tally-Ho,"Coffee, Nebraska"
Rockies,"Tater Peeler, Oklahoma"
Roeder's Pub,"Big Timber, Kansas"
Room 710,"Calendar, New York"
Rowdy Buck Saloon,"Four Locks, Texas"
Rplace,"Prince Frederick, Georgia"
Sadie's,"Snow Hill, Oklahoma"
Sanctuary,"Shuffletown, Idaho"
Sandy's Goose Shot,"Bullseye, South Carolina"
Schooner Wharf Bar,"Ninetyfour, Washington"
Smugglers Lounge,"Angels Camp, Ohio"
Snake River Saloon,"Athos, Michigan"
Southgate House,"Chopin, Arizona"
St Petersburg Wet Willie's,"Weweantic, Massachusetts"
Stage Door,"Athol, Maryland"
State Bar & Lounge,"Personville, Arizona"
Sterling Hotel,"Pronto, Pennsylvania"
Stone Design,"Frogtown, Maine"
Studio 55,"Black Eyes, Colorado"
Sun City Lions Recycling Assoc. Inc.,"Athol, Maryland"
Sunset Grill,"Hatchcakamocha, District of Columbia"
Sweeney,"Experiment, Maine"
T Bombadils,"Dinosaur, Florida"
T-Bird Lounge,"Skyhigh, Ohio"
Tavern,"Puttstown, Tennessee"
Tender Touch,"Shake Rag, California"
Tequila Mockingbird,"New Brunswick, New Jersey"
Texas Bar & Grill,"Deep Hole, Alabama"
The Coroner Shop Inc,"Little Switzerland, Alaska"
The Old Tavern,"Stamp, Vermont"
THE WINE AND SPIRITS,"Toadtown, Indiana"
The Wine Co.,"Aptakisic, Arkansas"
Thirsty's 2,"Indian Head, Missouri"
Thomas Street Tavern,"Content, Arkansas"
Timbers,"Two Locks, Arkansas"
Town & Country Bar & Grill,"Indianapolis, Oregon"
Trophy Club,"Blood, North Dakota"
Union Jack,"Red Onion, Massachusetts"
Up & Under Pub,"Ottumwa, Georgia"
Velvet Tango Room,"Hatchcakamocha, District of Columbia"
Village Wine Rack,"Fink Creek, Maine"
Wild Hare Sports Cafe,"Stotonic, South Dakota"
Willie's Pub,"Yum Yum, Missouri"
Windjammer Inn,"Buffalolick, Alaska"
Wine Chateau,"Piscataway, New Jersey"
Winking Lizzard Tavern,"Slapneck, Tennessee"
Wolfpack Ventures Inc,"Honolulu, Pennsylvania"
Yankee Scoreboard,"Constitution, Tennessee"
Zeno's,"Wharf, Alaska"
Zukey Lake Tavern,"Lucky, Washington"
